condition,symptoms,description
Diabetes,"increased thirst, frequent urination, fatigue",A chronic condition affecting how the body processes blood sugar.
Asthma,"wheezing, chest tightness, shortness of breath",A condition where airways become inflamed and narrow.
Hypertension,"headaches, dizziness, blurred vision",A condition where blood pressure is consistently high.
Common Cold,"runny nose, sore throat, sneezing, congestion",A viral infection of the nose and throat.
Influenza,"fever, chills, muscle aches, cough, sore throat",A contagious respiratory illness caused by influenza viruses.
Migraine,"severe headache, nausea, sensitivity to light",A neurological condition causing intense headaches and other symptoms.
COVID-19,"fever, cough, loss of taste or smell, fatigue",An infectious disease caused by the SARS-CoV-2 virus.
Tuberculosis,"persistent cough, chest pain, weight loss, night sweats",A bacterial infection that primarily affects the lungs.
Anemia,"fatigue, pale skin, shortness of breath",A condition in which the blood lacks enough healthy red blood cells.
Arthritis,"joint pain, stiffness, swelling, decreased mobility","Inflammation of one or more joints, causing pain and stiffness."
Diabetes,"increased thirst, frequent urination, fatigue",A chronic condition affecting how the body processes blood sugar.
Asthma,"wheezing, chest tightness, shortness of breath",A condition where airways become inflamed and narrow.
Hypertension,"headaches, dizziness, blurred vision",A condition where blood pressure is consistently high.
Common Cold,"runny nose, sore throat, sneezing, congestion",A viral infection of the nose and throat.
Influenza,"fever, chills, muscle aches, cough, sore throat",A contagious respiratory illness caused by influenza viruses.
Migraine,"severe headache, nausea, sensitivity to light",A neurological condition causing intense headaches and other symptoms.
COVID-19,"fever, cough, loss of taste or smell, fatigue",An infectious disease caused by the SARS-CoV-2 virus.
Tuberculosis,"persistent cough, chest pain, weight loss, night sweats",A bacterial infection that primarily affects the lungs.
Anemia,"fatigue, pale skin, shortness of breath",A condition in which the blood lacks enough healthy red blood cells.
Arthritis,"joint pain, stiffness, swelling, decreased mobility","Inflammation of one or more joints, causing pain and stiffness."
Diabetes,"increased thirst, frequent urination, fatigue",A chronic condition affecting how the body processes blood sugar.
Asthma,"wheezing, chest tightness, shortness of breath",A condition where airways become inflamed and narrow.
Hypertension,"headaches, dizziness, blurred vision",A condition where blood pressure is consistently high.
Common Cold,"runny nose, sore throat, sneezing, congestion",A viral infection of the nose and throat.
Influenza,"fever, chills, muscle aches, cough, sore throat",A contagious respiratory illness caused by influenza viruses.
Migraine,"severe headache, nausea, sensitivity to light",A neurological condition causing intense headaches and other symptoms.
COVID-19,"fever, cough, loss of taste or smell, fatigue",An infectious disease caused by the SARS-CoV-2 virus.
Tuberculosis,"persistent cough, chest pain, weight loss, night sweats",A bacterial infection that primarily affects the lungs.
